title,summary,published,authors,processed_summary
FreeScale: Unleashing the Resolution of Diffusion Models via Tuning-Free Scale Fusion,"Visual diffusion models achieve remarkable progress, yet they are typically
trained at limited resolutions due to the lack of high-resolution data and
constrained computation resources, hampering their ability to generate
high-fidelity images or videos at higher resolutions. Recent efforts have
explored tuning-free strategies to exhibit the untapped potential
higher-resolution visual generation of pre-trained models. However, these
methods are still prone to producing low-quality visual content with repetitive
patterns. The key obstacle lies in the inevitable increase in high-frequency
information when the model generates visual content exceeding its training
resolution, leading to undesirable repetitive patterns deriving from the
accumulated errors. To tackle this challenge, we propose FreeScale, a
tuning-free inference paradigm to enable higher-resolution visual generation
via scale fusion. Specifically, FreeScale processes information from different
receptive scales and then fuses it by extracting desired frequency components.
Extensive experiments validate the superiority of our paradigm in extending the
capabilities of higher-resolution visual generation for both image and video
models. Notably, compared with the previous best-performing method, FreeScale
unlocks the generation of 8k-resolution images for the first time.",2024-12-12 18:59:59+00:00,"['Haonan Qiu', 'Shiwei Zhang', 'Yujie Wei', 'Ruihang Chu', 'Hangjie Yuan', 'Xiang Wang', 'Yingya Zhang', 'Ziwei Liu']",visual diffusion model achieve remarkable progress typically train limited resolution lack high resolution datum constrain computation resource hamper ability generate high fidelity image video high resolution recent effort explore tuning free strategy exhibit untapped potential high resolution visual generation pre train model method prone produce low quality visual content repetitive pattern key obstacle lie inevitable increase high frequency information model generate visual content exceed training resolution lead undesirable repetitive pattern derive accumulate error tackle challenge propose freescale tuning free inference paradigm enable high resolution visual generation scale fusion specifically freescale process information different receptive scale fuse extract desire frequency component extensive experiment validate superiority paradigm extend capability high resolution visual generation image video model notably compare previous well perform method freescale unlock generation resolution image time
Doe-1: Closed-Loop Autonomous Driving with Large World Model,"End-to-end autonomous driving has received increasing attention due to its
potential to learn from large amounts of data. However, most existing methods
are still open-loop and suffer from weak scalability, lack of high-order
interactions, and inefficient decision-making. In this paper, we explore a
closed-loop framework for autonomous driving and propose a large Driving wOrld
modEl (Doe-1) for unified perception, prediction, and planning. We formulate
autonomous driving as a next-token generation problem and use multi-modal
tokens to accomplish different tasks. Specifically, we use free-form texts
(i.e., scene descriptions) for perception and generate future predictions
directly in the RGB space with image tokens. For planning, we employ a
position-aware tokenizer to effectively encode action into discrete tokens. We
train a multi-modal transformer to autoregressively generate perception,
prediction, and planning tokens in an end-to-end and unified manner.
Experiments on the widely used nuScenes dataset demonstrate the effectiveness
of Doe-1 in various tasks including visual question-answering,
action-conditioned video generation, and motion planning. Code:
https://github.com/wzzheng/Doe.",2024-12-12 18:59:59+00:00,"['Wenzhao Zheng', 'Zetian Xia', 'Yuanhui Huang', 'Sicheng Zuo', 'Jie Zhou', 'Jiwen Lu']",end end autonomous driving receive increase attention potential learn large amount datum exist method open loop suffer weak scalability lack high order interaction inefficient decision making paper explore closed loop framework autonomous driving propose large driving world model unified perception prediction planning formulate autonomous driving token generation problem use multi modal token accomplish different task specifically use free form text scene description perception generate future prediction directly rgb space image token planning employ position aware tokenizer effectively encode action discrete token train multi modal transformer autoregressively generate perception prediction plan token end end unified manner experiment widely nuscene dataset demonstrate effectiveness task include visual question answer action condition video generation motion planning code
GenEx: Generating an Explorable World,"Understanding, navigating, and exploring the 3D physical real world has long
been a central challenge in the development of artificial intelligence. In this
work, we take a step toward this goal by introducing GenEx, a system capable of
planning complex embodied world exploration, guided by its generative
imagination that forms priors (expectations) about the surrounding
environments. GenEx generates an entire 3D-consistent imaginative environment
from as little as a single RGB image, bringing it to life through panoramic
video streams. Leveraging scalable 3D world data curated from Unreal Engine,
our generative model is rounded in the physical world. It captures a continuous
360-degree environment with little effort, offering a boundless landscape for
AI agents to explore and interact with. GenEx achieves high-quality world
generation, robust loop consistency over long trajectories, and demonstrates
strong 3D capabilities such as consistency and active 3D mapping. Powered by
generative imagination of the world, GPT-assisted agents are equipped to
perform complex embodied tasks, including both goal-agnostic exploration and
goal-driven navigation. These agents utilize predictive expectation regarding
unseen parts of the physical world to refine their beliefs, simulate different
outcomes based on potential decisions, and make more informed choices. In
summary, we demonstrate that GenEx provides a transformative platform for
advancing embodied AI in imaginative spaces and brings potential for extending
these capabilities to real-world exploration.",2024-12-12 18:59:57+00:00,"['Taiming Lu', 'Tianmin Shu', 'Junfei Xiao', 'Luoxin Ye', 'Jiahao Wang', 'Cheng Peng', 'Chen Wei', 'Daniel Khashabi', 'Rama Chellappa', 'Alan Yuille', 'Jieneng Chen']",understanding navigating explore physical real world long central challenge development artificial intelligence work step goal introduce genex system capable planning complex embody world exploration guide generative imagination form prior expectation surround environment genex generate entire consistent imaginative environment little single rgb image bring life panoramic video stream leverage scalable world datum curate unreal engine generative model round physical world capture continuous degree environment little effort offer boundless landscape ai agent explore interact genex achieve high quality world generation robust loop consistency long trajectory demonstrate strong capability consistency active mapping power generative imagination world gpt assist agent equip perform complex embodied task include goal agnostic exploration goal drive navigation agent utilize predictive expectation unseen part physical world refine belief simulate different outcome base potential decision informed choice summary demonstrate genex provide transformative platform advance embody ai imaginative space bring potential extend capability real world exploration
OmniDrag: Enabling Motion Control for Omnidirectional Image-to-Video Generation,"As virtual reality gains popularity, the demand for controllable creation of
immersive and dynamic omnidirectional videos (ODVs) is increasing. While
previous text-to-ODV generation methods achieve impressive results, they
struggle with content inaccuracies and inconsistencies due to reliance solely
on textual inputs. Although recent motion control techniques provide
fine-grained control for video generation, directly applying these methods to
ODVs often results in spatial distortion and unsatisfactory performance,
especially with complex spherical motions. To tackle these challenges, we
propose OmniDrag, the first approach enabling both scene- and object-level
motion control for accurate, high-quality omnidirectional image-to-video
generation. Building on pretrained video diffusion models, we introduce an
omnidirectional control module, which is jointly fine-tuned with temporal
attention layers to effectively handle complex spherical motion. In addition,
we develop a novel spherical motion estimator that accurately extracts
motion-control signals and allows users to perform drag-style ODV generation by
simply drawing handle and target points. We also present a new dataset, named
Move360, addressing the scarcity of ODV data with large scene and object
motions. Experiments demonstrate the significant superiority of OmniDrag in
achieving holistic scene-level and fine-grained object-level control for ODV
generation. The project page is available at
https://lwq20020127.github.io/OmniDrag.",2024-12-12 18:59:56+00:00,"['Weiqi Li', 'Shijie Zhao', 'Chong Mou', 'Xuhan Sheng', 'Zhenyu Zhang', 'Qian Wang', 'Junlin Li', 'Li Zhang', 'Jian Zhang']",virtual reality gain popularity demand controllable creation immersive dynamic omnidirectional video odvs increase previous text odv generation method achieve impressive result struggle content inaccuracy inconsistency reliance solely textual input recent motion control technique provide fine grain control video generation directly apply method odvs result spatial distortion unsatisfactory performance especially complex spherical motion tackle challenge propose omnidrag approach enable object level motion control accurate high quality omnidirectional image video generation build pretraine video diffusion model introduce omnidirectional control module jointly fine tune temporal attention layer effectively handle complex spherical motion addition develop novel spherical motion estimator accurately extract motion control signal allow user perform drag style odv generation simply draw handle target point present new dataset name address scarcity odv datum large scene object motion experiment demonstrate significant superiority omnidrag achieve holistic scene level fine grain object level control odv generation project page available
Learning Camera Movement Control from Real-World Drone Videos,"This study seeks to automate camera movement control for filming existing
subjects into attractive videos, contrasting with the creation of non-existent
content by directly generating the pixels. We select drone videos as our test
case due to their rich and challenging motion patterns, distinctive viewing
angles, and precise controls. Existing AI videography methods struggle with
limited appearance diversity in simulation training, high costs of recording
expert operations, and difficulties in designing heuristic-based goals to cover
all scenarios. To avoid these issues, we propose a scalable method that
involves collecting real-world training data to improve diversity, extracting
camera trajectories automatically to minimize annotation costs, and training an
effective architecture that does not rely on heuristics. Specifically, we
collect 99k high-quality trajectories by running 3D reconstruction on online
videos, connecting camera poses from consecutive frames to formulate 3D camera
paths, and using Kalman filter to identify and remove low-quality data.
Moreover, we introduce DVGFormer, an auto-regressive transformer that leverages
the camera path and images from all past frames to predict camera movement in
the next frame. We evaluate our system across 38 synthetic natural scenes and 7
real city 3D scans. We show that our system effectively learns to perform
challenging camera movements such as navigating through obstacles, maintaining
low altitude to increase perceived speed, and orbiting towers and buildings,
which are very useful for recording high-quality videos. Data and code are
available at dvgformer.github.io.",2024-12-12 18:59:54+00:00,"['Yunzhong Hou', 'Liang Zheng', 'Philip Torr']",study seek automate camera movement control film exist subject attractive video contrast creation non existent content directly generate pixel select drone video test case rich challenging motion pattern distinctive viewing angle precise control exist ai videography method struggle limited appearance diversity simulation training high cost recording expert operation difficulty design heuristic base goal cover scenario avoid issue propose scalable method involve collect real world training datum improve diversity extract camera trajectory automatically minimize annotation cost train effective architecture rely heuristic specifically collect high quality trajectory run reconstruction online video connect camera pose consecutive frame formulate camera path kalman filter identify remove low quality datum introduce dvgformer auto regressive transformer leverage camera path image past frame predict camera movement frame evaluate system synthetic natural scene real city scan system effectively learn perform challenge camera movement navigate obstacle maintain low altitude increase perceive speed orbit tower building useful record high quality video datum code available
Stereo4D: Learning How Things Move in 3D from Internet Stereo Videos,"Learning to understand dynamic 3D scenes from imagery is crucial for
applications ranging from robotics to scene reconstruction. Yet, unlike other
problems where large-scale supervised training has enabled rapid progress,
directly supervising methods for recovering 3D motion remains challenging due
to the fundamental difficulty of obtaining ground truth annotations. We present
a system for mining high-quality 4D reconstructions from internet stereoscopic,
wide-angle videos. Our system fuses and filters the outputs of camera pose
estimation, stereo depth estimation, and temporal tracking methods into
high-quality dynamic 3D reconstructions. We use this method to generate
large-scale data in the form of world-consistent, pseudo-metric 3D point clouds
with long-term motion trajectories. We demonstrate the utility of this data by
training a variant of DUSt3R to predict structure and 3D motion from real-world
image pairs, showing that training on our reconstructed data enables
generalization to diverse real-world scenes. Project page:
https://stereo4d.github.io",2024-12-12 18:59:54+00:00,"['Linyi Jin', 'Richard Tucker', 'Zhengqi Li', 'David Fouhey', 'Noah Snavely', 'Aleksander Holynski']",learn understand dynamic scene imagery crucial application range robotic scene reconstruction unlike problem large scale supervise training enable rapid progress directly supervise method recover motion remain challenge fundamental difficulty obtain ground truth annotation present system mine high quality reconstruction internet stereoscopic wide angle video system fuse filter output camera pose estimation stereo depth estimation temporal tracking method high quality dynamic reconstruction use method generate large scale datum form world consistent pseudo metric point cloud long term motion trajectory demonstrate utility datum train variant predict structure motion real world image pair show training reconstructed datum enable generalization diverse real world scene project page
EasyRef: Omni-Generalized Group Image Reference for Diffusion Models via Multimodal LLM,"Significant achievements in personalization of diffusion models have been
witnessed. Conventional tuning-free methods mostly encode multiple reference
images by averaging their image embeddings as the injection condition, but such
an image-independent operation cannot perform interaction among images to
capture consistent visual elements within multiple references. Although the
tuning-based Low-Rank Adaptation (LoRA) can effectively extract consistent
elements within multiple images through the training process, it necessitates
specific finetuning for each distinct image group. This paper introduces
EasyRef, a novel plug-and-play adaptation method that enables diffusion models
to be conditioned on multiple reference images and the text prompt. To
effectively exploit consistent visual elements within multiple images, we
leverage the multi-image comprehension and instruction-following capabilities
of the multimodal large language model (MLLM), prompting it to capture
consistent visual elements based on the instruction. Besides, injecting the
MLLM's representations into the diffusion process through adapters can easily
generalize to unseen domains, mining the consistent visual elements within
unseen data. To mitigate computational costs and enhance fine-grained detail
preservation, we introduce an efficient reference aggregation strategy and a
progressive training scheme. Finally, we introduce MRBench, a new
multi-reference image generation benchmark. Experimental results demonstrate
EasyRef surpasses both tuning-free methods like IP-Adapter and tuning-based
methods like LoRA, achieving superior aesthetic quality and robust zero-shot
generalization across diverse domains.",2024-12-12 18:59:48+00:00,"['Zhuofan Zong', 'Dongzhi Jiang', 'Bingqi Ma', 'Guanglu Song', 'Hao Shao', 'Dazhong Shen', 'Yu Liu', 'Hongsheng Li']",significant achievement personalization diffusion model witness conventional tuning free method encode multiple reference image average image embedding injection condition image independent operation perform interaction image capture consistent visual element multiple reference tuning base low rank adaptation lora effectively extract consistent element multiple image training process necessitate specific finetuning distinct image group paper introduce easyref novel plug play adaptation method enable diffusion model condition multiple reference image text prompt effectively exploit consistent visual element multiple image leverage multi image comprehension instruction follow capability multimodal large language model mllm prompt capture consistent visual element base instruction inject mllm representation diffusion process adapter easily generalize unseen domain mine consistent visual element unseen datum mitigate computational cost enhance fine grain detail preservation introduce efficient reference aggregation strategy progressive training scheme finally introduce mrbench new multi reference image generation benchmark experimental result demonstrate easyref surpass tuning free method like ip adapter tuning base method like lora achieve superior aesthetic quality robust zero shot generalization diverse domain
Context Canvas: Enhancing Text-to-Image Diffusion Models with Knowledge Graph-Based RAG,"We introduce a novel approach to enhance the capabilities of text-to-image
models by incorporating a graph-based RAG. Our system dynamically retrieves
detailed character information and relational data from the knowledge graph,
enabling the generation of visually accurate and contextually rich images. This
capability significantly improves upon the limitations of existing T2I models,
which often struggle with the accurate depiction of complex or culturally
specific subjects due to dataset constraints. Furthermore, we propose a novel
self-correcting mechanism for text-to-image models to ensure consistency and
fidelity in visual outputs, leveraging the rich context from the graph to guide
corrections. Our qualitative and quantitative experiments demonstrate that
Context Canvas significantly enhances the capabilities of popular models such
as Flux, Stable Diffusion, and DALL-E, and improves the functionality of
ControlNet for fine-grained image editing tasks. To our knowledge, Context
Canvas represents the first application of graph-based RAG in enhancing T2I
models, representing a significant advancement for producing high-fidelity,
context-aware multi-faceted images.",2024-12-12 18:59:41+00:00,"['Kavana Venkatesh', 'Yusuf Dalva', 'Ismini Lourentzou', 'Pinar Yanardag']",introduce novel approach enhance capability text image model incorporate graph base rag system dynamically retrieve detailed character information relational datum knowledge graph enable generation visually accurate contextually rich image capability significantly improve limitation exist model struggle accurate depiction complex culturally specific subject dataset constraint furthermore propose novel self correct mechanism text image model ensure consistency fidelity visual output leverage rich context graph guide correction qualitative quantitative experiment demonstrate context canvas significantly enhance capability popular model flux stable diffusion dall e improve functionality controlnet fine grain image editing task knowledge context canvas represent application graph base rag enhance model represent significant advancement produce high fidelity context aware multi faceted image
FluxSpace: Disentangled Semantic Editing in Rectified Flow Transformers,"Rectified flow models have emerged as a dominant approach in image
generation, showcasing impressive capabilities in high-quality image synthesis.
However, despite their effectiveness in visual generation, rectified flow
models often struggle with disentangled editing of images. This limitation
prevents the ability to perform precise, attribute-specific modifications
without affecting unrelated aspects of the image. In this paper, we introduce
FluxSpace, a domain-agnostic image editing method leveraging a representation
space with the ability to control the semantics of images generated by
rectified flow transformers, such as Flux. By leveraging the representations
learned by the transformer blocks within the rectified flow models, we propose
a set of semantically interpretable representations that enable a wide range of
image editing tasks, from fine-grained image editing to artistic creation. This
work offers a scalable and effective image editing approach, along with its
disentanglement capabilities.",2024-12-12 18:59:40+00:00,"['Yusuf Dalva', 'Kavana Venkatesh', 'Pinar Yanardag']",rectified flow model emerge dominant approach image generation showcase impressive capability high quality image synthesis despite effectiveness visual generation rectify flow model struggle disentangle editing image limitation prevent ability perform precise attribute specific modification affect unrelated aspect image paper introduce fluxspace domain agnostic image editing method leverage representation space ability control semantic image generate rectify flow transformer flux leverage representation learn transformer block rectify flow model propose set semantically interpretable representation enable wide range image editing task fine grain image editing artistic creation work offer scalable effective image editing approach disentanglement capability
The S-matrix bootstrap with neural optimizers I: zero double discontinuity,"In this work, we develop machine learning techniques to study nonperturbative
scattering amplitudes. We focus on the two-to-two scattering amplitude of
identical scalar particles, setting the double discontinuity to zero as a
simplifying assumption. Neural networks provide an efficient parameterization
for scattering amplitudes, offering a flexible toolkit to describe their fine
nonperturbative structure. Combined with the bootstrap approach based on the
dispersive representation of the amplitude and machine learning's gradient
descent algorithms, they offer a new method to explore the space of consistent
S-matrices. We derive bounds on the values of the first two low-energy Taylor
coefficients of the amplitude and characterize the resulting amplitudes that
populate the allowed region. Crucially, we parallel our neural network analysis
with the standard S-matrix bootstrap, both primal and dual, and observe perfect
agreement across all approaches.",2024-12-12 18:59:37+00:00,"['Mehmet Asim Gumus', 'Damien Leflot', 'Piotr Tourkine', 'Alexander Zhiboedov']",work develop machine learn technique study nonperturbative scattering amplitude focus scatter amplitude identical scalar particle set double discontinuity zero simplifying assumption neural network provide efficient parameterization scatter amplitude offer flexible toolkit describe fine nonperturbative structure combine bootstrap approach base dispersive representation amplitude machine learning gradient descent algorithm offer new method explore space consistent s matrix derive bound value low energy taylor coefficient amplitude characterize result amplitude populate allow region crucially parallel neural network analysis standard s matrix bootstrap primal dual observe perfect agreement approach
